name,country_code,height,birth_date,birth_place,nickname,gender
STENZEL Maria,POL,168,1998-11-25,Koscian,Mery,F
STYSIAK Magdalena,POL,203,2000-12-03,Turow,Megi,F
SZCZYGLOWSKA Aleksandra,POL,172,1998-03-22,Elblag,Ola,F
WENERSKA Katarzyna,POL,180,1993-03-09,Swiecie,Kasia,F
WOLOSZ Joanna,POL,181,1990-04-07,Elblag,,F
OLUOCH Veronica Adhiambo,KEN,180,1999-06-05,Ugenya,,F
ALEKSIC Maja,SRB,188,1997-06-06,Uzice,,F
BOSKOVIC Tijana,SRB,193,1997-03-08,Trebinje,Tica,F
BUSA Bianka,SRB,187,1994-07-25,Vrbas,Buki,F
DRCA Bojana,SRB,186,1988-03-29,Belgrade,Bosha,F
KURTAGIC Hena,SRB,195,2004-08-27,Novi Pazar,,F
LAZOVIC Katarina,SRB,182,1999-09-12,Belgrade,Laza,F
LOZO Sara,SRB,186,1997-04-29,Jagodina,,F
MILENKOVIC Bojana,SRB,185,1997-03-06,Belgrade,,F
OGNJENOVIC Maja,SRB,183,1984-08-06,Zrenjanin,,F
POPOVIC Silvija,SRB,178,1986-03-15,Niksic,,F
POPOVIC Mina,SRB,187,1994-09-16,Kraljevo,,F
STEVANOVIC Jovana,SRB,192,1992-06-30,Belgrade,Jole,F
UZELAC Aleksandra,SRB,188,2004-07-27,Zrenjanin,,F
da SILVA Ana Carolina,BRA,183,1991-04-08,Belo Horizonte,Carol,F
MENEZES OLIVEIRA de SOUZA Ana Cris,BRA,192,2004-04-07,Rio De Janeiro,,F
DUARTE ALECRIM Diana,BRA,194,1999-02-22,,,F
BRAGA GUIMARAES Gabriela,BRA,180,1994-05-19,Belo Horizonte,Gabi,F
BERGMANN Julia Isabelle,BRA,191,2001-02-21,Munich,,F
GERALDO TEIXEIRA Lorenne,BRA,187,1996-01-08,Conselheiro Lafaiete,,F
SILVA CARNEIRO Macris Fernanda,BRA,178,1989-03-03,Santo Andre,Fada Vegana (Portuguese for Vegan Fairy),F
ARAUJO Natalia,BRA,162,1997-04-10,Sao Paulo,Natinha,F
ALEXANDRE COSTA NUNES Nyeme Victor,BRA,175,1998-10-11,Barra Do Corda,Doutora Nyeme,F
MONTIBELLER Rosamaria,BRA,185,1994-04-09,Nova Trento,,F
RATZKE Roberta Silva,BRA,185,1990-04-28,Curitiba,,F
DAHER de MENEZES Thaisa,BRA,196,1987-05-15,Rio De Janeiro,Mama Daher,F
LEMES SANTOS Tainara,BRA,190,2000-03-09,Jandira,,F
GIOVANNINI Gaia,ITA,182,2001-12-17,San Giovanni In Persiceto,,F
van AALEN Sarah,NED,186,2000-01-21,Stogumber,,F
PLAK Celeste,NED,190,1995-10-26,Tuitjenhorn,,F
KNOLLEMA Jolien,NED,189,2003-01-05,Groningen,,F
LOHUIS Juliet,NED,190,1996-09-10,Oldenzaal,,F
BUIJS Anne,NED,191,1991-12-02,Geleen,,F
BONGAERTS Britt,NED,185,1996-11-03,Roermond,,F
BAIJENS Indy,NED,193,2001-02-04,Zaandam,,F
JASPER Marrit,NED,180,1996-02-28,Sneek,,F
DAALDEROP Nika,NED,189,1998-11-29,Amsterdam,,F
TIMMERMAN Eline,NED,192,1998-12-30,Rijssen,,F
REESINK Florien,NED,174,1998-06-09,Borne,,F
DAMBRINK Elles,NED,184,2003-06-22,Ouderkerk Aan Den Ijssel,,F
MARRING Nova,NED,184,2001-09-06,Groningen,,F
