name,country_code,height,birth_date,birth_place,nickname,gender
HOAG Nicholas,CAN,200,1992-08-19,"Gatineau, Qc",,M
HERR Luke,CAN,192,1994-07-18,"Three Hills, Ab",,M
KETRZYNSKI Xander,CAN,208,2000-01-27,,,M
LOEPPKY Eric,CAN,197,1998-08-01,"Steinbach, Mb",,M
MAAR Stephen Timothy,CAN,201,1994-12-06,"Scarborough, On",,M
BARNES Ryley Brendan,CAN,200,1993-10-11,"Edmonton, Ab",Barncat,M
McCARTHY Fynnian Lionel,CAN,200,1999-12-04,"Kelowna, Bc",,M
LAURENZANO Gabriele,ITA,176,2003-06-12,,,M
ATANASIJEVIC Aleksandar,SRB,200,1991-09-04,Belgrade,Bata,M
IVOVIC Marko,SRB,194,1990-12-22,Belgrade,Mali,M
JOVOVIC Nikola,SRB,197,1992-02-13,Novi Sad,,M
KAPUR Milorad,SRB,181,1991-03-05,,"Momo, Mićko",M
KOVACEVIC Uros,SRB,197,1993-05-06,Kraljevo,,M
KRSMANOVIC Petar,SRB,205,1990-06-01,Cacak,,M
KUJUNDZIC Miran,SRB,196,1997-06-19,Subotica,,M
LUBURIC Drazen,SRB,202,1993-11-02,Novi Sad,,M
MASULOVIC Nemanja,SRB,205,1995-10-05,Nis,,M
NEDELJKOVIC Aleksandar,SRB,205,1997-10-27,Vranje,,M
PERIC Pavle,SRB,207,1998-08-07,Prokuplje,,M
PODRASCANIN Marko,SRB,204,1987-08-29,Novi Sad,Potke,M
TODOROVIC Vuk,SRB,190,1998-04-23,,,M
FERNANDES P.X.CAVALCANTE Adriano,BRA,201,2002-02-06,Ituiutaba,,M
SOUZA Alan,BRA,202,1994-03-21,Rio De Janeiro,,M
REZENDE Bruno Mossa,BRA,190,1986-07-02,Rio De Janeiro,Bruninho,M
FERREIRA SOUZA Darlan,BRA,192,2002-06-24,,,M
RESENDE GUALBERTO Flavio,BRA,199,1993-04-22,Pimenta,,M
GIL KRELING Fernando,BRA,186,1996-01-13,Caxias Do Sul,"Cachopa (Portuguese for beehive, because of his hair)",M
HONORATO Henrique Dantas Nobrega,BRA,190,1997-03-18,Campina Grande,,M
SANTOS Isac,BRA,208,1990-12-13,Sao Goncalo,Newton,M
BERGMANN Lukas Felipe,BRA,204,2004-03-25,Munich,,M
SAATKAMP Lucas,BRA,209,1986-03-06,Colinas,Lucao,M
SOUZA Ricardo Lucarelli,BRA,196,1992-02-14,Contagem,"Lucao, Luca",M
HOSS Thales,BRA,190,1989-04-26,Sao Leopoldo,,M
LEAL HIDALGO Yoandy,BRA,202,1988-08-31,Havana,,M
OTSUKA Tatsunori,JPN,194,2000-11-05,Hirakata,Tatsu,M
PAJENK Alen,SLO,203,1986-04-23,Maribor,,M
VINCIC Dejan,SLO,200,1986-09-15,Velenje,Vinko,M
ROPRET Gregor,SLO,192,1989-03-01,Ljubljana,,M
KOZAMERNIK Jan,SLO,204,1995-12-24,Ljubljana,,M
KOVACIC Jani,SLO,186,1992-06-14,Sempeter Pri Gorici,,M
CEBULJ Klemen,SLO,202,1992-02-21,Slovenj Gradec,Ceba,M
MUJANOVIC Nik,SLO,206,2004-10-14,,Mujo,M
MOZIC Rok,SLO,200,2002-01-17,Maribor,,M
STALEKAR Saso,SLO,214,1996-05-03,Slovenj Gradec,,M
URNAUT Tine,SLO,200,1988-09-03,Slovenj Gradec,,M
STERN Toncek,SLO,200,1995-11-14,Maribor,,M
PLANINSIC Uros,SLO,186,1998-05-09,Maribor,,M
STERN Ziga,SLO,193,1994-01-02,Maribor,,M
